model,round,accuracy,loss,epsilon,traffic_mb,quantization_bits
lr,1,0.7079686780285582,0.6107690527877299,0.8396673962279374,0.0059,16
lr,2,0.7047443574389682,0.6165555285479494,0.9944942501513195,0.0117,16
lr,3,0.7062797481959159,0.6099114075849889,1.124882572122602,0.0161,4
lr,4,0.7035160448334101,0.6299057467163534,1.2552708940938844,0.0193,4
lr,5,0.7118071549209274,0.6134154685087583,1.4485889464185067,0.0227,4
lr,6,0.7118071549209274,0.6082520735450518,1.6119083297743366,0.026,4
lr,7,0.7145708582834331,0.6080579188092228,1.7677419057932704,0.0293,4
lr,8,0.716566866267465,0.5955475777932142,1.913058055833166,0.0325,4
lr,9,0.7157991708889913,0.5950286933743567,2.049520274443397,0.0358,4
lr,10,0.7151850145862122,0.5943938426372553,2.1787081691758288,0.0375,4
mlp,1,0.7082757561799478,0.9855600080328312,0.8396673962279374,0.0705,16
mlp,2,0.6990634116382619,0.997234539128697,0.9944942501513195,0.141,16
mlp,3,0.6972209427299247,1.023811531688291,1.124882572122602,0.175,4
mlp,4,0.7015200368493781,1.0009398013467743,1.2552708940938844,0.1978,4
mlp,5,0.7064332872716106,1.0676841329278144,1.4485889464185067,0.2206,4
mlp,6,0.7067403654230001,1.0387481049597767,1.6119083297743366,0.2426,4
